Station name,Station_lon,Station_lat,population_density[people/km2],household_density[household/km2],income[Manyen],housing_price[Manyen],rent_fee[Manyen],consumption[Manyen],trips[times/km2],company_density[amount/km2],minor_pro,major_pro,sector_count,service_pro,Shopping,Entertainment,Restaurant,Retail,commercial_area[km2],transfer,passenger_load,intersection,bus_stop,parking,Education,Public,park_area[km2]
YRP野比,139.68505,35.21224,371.2395385100333,151.83469708970316,501.0,2136.0,16.4,155.0,642.2092554993503,1.0848374680472164,0.639261744966443,0.0369127516778523,15.0,0.2483221476510067,1.0,0.0,1.0,2.0,1.6524686743053694,0,18536.0,1628.0,19.0,0.0,1.0,0.0,0.1157368102107016
あざみ野,139.55359950000002,35.568309,11730.19236076476,5280.765346143787,699.0,5033.0,17.6,207.0,13638.280077064086,462.03422177425,0.4653430660653774,0.0723967489617569,16.0,0.2576785395806262,4.5,1.0,52.5,19.5,1.971639040640596,1,216163.0,1436.0,26.5,14.0,5.5,3.0,0.1533280507187639
いずみ中央,139.487232,35.415391,5960.108156513074,2438.6764079012178,569.0,3589.0,13.9,204.0,2432.448795484059,1190.1226456583,0.5392294493838715,0.076899079706754,16.0,0.2129153018249883,1.0,0.0,3.0,3.0,1.370724046382194,0,16257.0,1546.0,22.0,0.0,2.0,0.0,0.0799565298176826
いずみ野,139.495146,35.42949,4592.41061361689,1904.4252678238388,560.0,3772.0,13.1,206.0,7959.400544476669,398.0753987341,0.5323482428115016,0.0750798722044728,16.0,0.2164536741214057,2.0,1.0,11.0,4.0,0.7442845178968893,0,13752.0,1286.0,18.0,1.0,4.0,1.0,0.0607761598866429
おゆみ野,140.166269,35.550044,5594.517939758739,2093.8589785515974,564.0,2586.0,12.6,201.0,1186.8722997775162,91.71687735286942,0.4200542005420054,0.089430894308943,16.0,0.3170731707317073,1.0,0.0,11.0,7.0,1.5166357573660028,0,5221.0,1070.0,11.0,1.0,2.0,0.0,0.1609279304799399
お台場海浜公園,139.778592,35.62984,703.5001803224169,324.0021900271295,672.0,9565.0,29.5,322.0,11037.458526410348,5.970956844600019,0.3942069939950547,0.1359943482868244,16.0,0.4171670787707524,4.0,11.0,31.0,22.0,2.4939387753002467,0,16899.0,702.0,32.0,1.0,2.0,1.0,0.3903277122186063
お花茶屋,139.839884,35.747615,16635.957763705177,7972.61577012404,504.0,4099.0,17.1,149.0,13229.69593573028,763.3743161978,0.6315632458233891,0.0528042959427207,15.0,0.2318019093078759,8.0,1.0,47.0,21.0,3.969590551221873,0,34319.0,1456.0,15.0,0.0,9.0,2.0,0.0442446726611987
かしわ台,139.415822,35.466822,10120.445051240746,4514.348259375272,520.0,2629.0,13.3,164.0,21408.231047981542,232.8103247734,0.7028753993610224,0.0425985090521831,15.0,0.2800851970181043,2.0,2.0,12.0,6.0,0.9281973295333372,0,18665.0,1608.0,40.0,0.0,1.0,0.0,0.0679502801360417
くぬぎ山,139.975682,35.782351,3877.391097874312,1614.78876200157,535.0,2704.0,11.9,197.0,9244.246397201969,187.0744887413,0.517845554834523,0.0966904607397793,16.0,0.2809863724853991,0.0,0.0,12.0,4.0,0.819006309186089,0,7297.0,1644.0,9.0,0.0,1.0,3.0,0.0344580229147369
こどもの国,139.486656,35.558035,4731.666680229698,2098.281715806579,643.0,3347.0,14.3,187.0,50420.697759951465,115.56302440068109,0.5951584114234716,0.0654363485688786,15.0,0.2100784088735895,1.0,4.0,17.0,12.0,1.2362546379796653,1,11611.0,936.0,24.0,0.0,3.0,3.0,0.450745044313569
さいたま新都心,139.63366333333332,35.89391833333334,10551.933428012877,4906.58682076679,625.0,4885.0,18.4,226.0,18317.84870873032,513.220237377,0.3883804218066056,0.116991643454039,16.0,0.2761639474731396,1.0,2.0,52.0,21.0,1.9812396957345548,0,111102.0,1156.0,37.0,1.0,6.0,31.0,0.0301305524222789
さがみ野,139.429055,35.4715,8530.992251283255,3932.3375949907936,512.0,2866.0,13.6,163.0,20162.458287037607,262.7753493304,0.5828421741977734,0.0857891290111329,15.0,0.3018991486574983,3.0,0.0,38.0,7.0,0.980257691694646,0,37399.0,1532.0,31.0,0.0,6.0,0.0,0.0353639464720899
すずかけ台,139.481741,35.517051,9903.784115252818,3933.344551675189,570.0,3519.0,14.6,176.0,46456.0010423504,102.99949055692184,0.5377280265339967,0.0955826925976179,13.0,0.1879240162822252,0.0,1.0,3.0,3.0,2.108211630031706,0,11623.0,1260.0,14.0,0.0,2.0,1.0,0.3277314935426786
せんげん台,139.774577,35.935861,10772.379368839202,4885.994868964138,501.0,2653.0,12.9,184.0,12264.666240640396,596.2098041218,0.6020961329960246,0.0404770509577159,15.0,0.3368268883267076,2.0,1.0,18.0,11.0,1.985454233244268,0,57414.0,1920.0,27.0,0.0,4.0,2.0,0.0188776816455088
たまプラーザ,139.558461,35.577384,13974.092443029684,6188.08208638616,666.0,4940.0,18.5,209.0,21965.53783413616,411.0955739033,0.4679100383982446,0.0652770159078442,16.0,0.2797586396050466,3.0,0.0,37.0,25.0,1.9899026774060675,0,83136.0,1108.0,24.0,9.0,8.0,0.0,0.1335809833784781
ちはら台,140.170174,35.534034,1457.5451028546,559.2636495783927,551.0,2371.0,11.7,187.0,2920.328353592421,51.89420926168487,0.4530516431924882,0.0657276995305164,15.0,0.2511737089201878,1.0,0.0,0.0,1.0,0.8087283773356033,0,5948.0,1000.0,5.0,0.0,1.0,0.0,0.2726396748051885
